,time,latency
3466,2020-04-30 14:07:06.732522,28.388216517865658
3467,2020-04-30 14:07:07.348182,28.987892170902338
3468,2020-04-30 14:07:07.593395,29.17458590213209
3469,2020-04-30 14:07:08.697001,30.314172356855124
3500,2020-04-30 14:32:09.765854,28.57889140723273
3501,2020-04-30 14:32:09.891146,28.787781951949
3502,2020-04-30 14:32:10.448397,29.36237993882969
3503,2020-04-30 14:32:10.576825,29.457006086129688
3504,2020-04-30 14:32:11.234945,30.09199284715578
3535,2020-04-30 14:57:06.597731,26.813992402981967
3536,2020-04-30 14:57:07.282528,27.483188236597925
3537,2020-04-30 14:57:07.343859,27.479283981956538
3538,2020-04-30 14:57:08.321217,28.55428444780409
3539,2020-04-30 14:57:08.796358,28.974471488967534
3570,2020-04-30 15:22:09.994806,28.43337290175259
3571,2020-04-30 15:22:10.120595,28.61796746077016
3572,2020-04-30 15:22:10.456000,28.9368853289634
3573,2020-04-30 15:22:10.777267,29.172756460029632
3574,2020-04-30 15:22:11.036529,29.501546467188746
3605,2020-04-30 15:47:08.395003,28.30513294180855
3606,2020-04-30 15:47:09.067987,28.889208908192806
3607,2020-04-30 15:47:09.103144,28.997100532054898
3608,2020-04-30 15:47:09.261192,29.128746838774532
3609,2020-04-30 15:47:09.917671,29.845323304180056
3640,2020-04-30 16:12:15.867363,28.01628827909008
3641,2020-04-30 16:12:15.971890,28.22642531991005
3642,2020-04-30 16:12:16.093070,28.28864724794403
